division_code,district_code,upazila_code,union_code,union_name,union_name_bangla,created_by
10,4,85,35,KALMEGHA,KALMEGHA,admin
40,57,87,38,BURIPOTA,BURIPOTA,admin
40,57,87,14,AMDA,AMDA,admin
40,57,87,19,AMJHUPI,AMJHUPI,admin
40,57,87,95,PIROJPUR,PIROJPUR,admin
60,90,92,64,TAHIRPUR SADAR,TAHIRPUR SADAR,admin
60,90,92,82,BORDAL UTTAR,BORDAL UTTAR,admin
60,90,92,43,BORDAL DAKKIN,BORDAL DAKKIN,admin
60,90,92,92,SREEPUR UTTAR,SREEPUR UTTAR,admin
50,64,3,73,PACHUPUR,PACHUPUR,admin
50,64,3,31,BISHA,BISHA,admin
50,64,3,63,MONIYARI,MONIYARI,admin
50,64,3,42,HAT KALUPARA,HAT KALUPARA,admin
40,57,60,47,DARIAPUR,DARIAPUR,admin
40,57,60,85,MONAKHALI,MONAKHALI,admin
40,57,60,28,BAGOAN,BAGOAN,admin
40,57,60,76,MAHAJANPUR,MAHAJANPUR,admin
40,1,77,19,DHANSAGOR,DHANSAGOR,admin
40,1,77,57,RAYENDA,RAYENDA,admin
40,1,77,76,SUTHKHALI,SUTHKHALI,admin
40,41,90,43,GOGA,GOGA,admin
40,41,90,94,ULASE,ULASE,admin
40,41,90,34,DEHE,DEHE,admin
40,50,15,54,DHAROMPUR,DHAROMPUR,admin
40,50,15,27,BAHIRCHAR,BAHIRCHAR,admin
40,50,15,81,MOKARIMPUR,MOKARIMPUR,admin
20,15,8,56,KHANKHANBAD,KHANKHANBAD,admin
50,64,60,43,CHANDIPUR,CHANDIPUR,admin
50,64,6,10,ADAIPUR,ADAIPUR,admin
50,64,6,42,BILASBARI,BILASBARI,admin
50,64,6,52,PAHARPUR,PAHARPUR,admin
50,38,74,10,AOULAI,AOULAI,admin
40,50,71,86,SADKI,SADKI,admin
40,50,71,16,BAGULAT,BAGULAT,admin
40,50,71,17,CHANDPUR,CHANDPUR,admin
20,13,22,81,SHAH MAHMUDPUR,SHAH MAHMUDPUR,admin
20,13,22,85,5NO RAMPUR,5NO RAMPUR,admin
20,13,22,31,1NO BISHNUPUR,1NO BISHNUPUR,admin
20,13,22,20,3NO KALYANPUR,3NO KALYANPUR,admin
40,41,38,38,MAJIDPUR,MAJIDPUR,admin
40,41,38,17,04 No BIDJANANDAKATI,04 No BIDJANANDAKATI,admin
40,41,38,76,SUFALAKATI,SUFALAKATI,admin
40,41,38,47,MANGALKOT,MANGALKOT,admin
40,44,42,27,DORHA,DORHA,admin
40,44,42,13,BALUHAR,BALUHAR,admin
30,48,27,81,SIDLA,SIDLA,admin
30,48,27,67,SAHEDAL,SAHEDAL,admin
30,48,27,27,GOBINDAPUR,GOBINDAPUR,admin
30,48,27,40,ZINAREY,ZINAREY,admin
20,30,29,25,FORHADNAGAR,FORHADNAGAR,admin
20,30,29,82,CHANUA,CHANUA,admin
20,30,29,22,DHALIA,DHALIA,admin
20,30,29,20,BALIGEON,BALIGEON,admin
40,47,69,19,ATRA GILATALA,ATRA GILATALA,admin
40,47,69,38,DAMODAR,DAMODAR,admin
40,47,69,57,ZAMIRA,ZAMIRA,admin
40,47,69,76,FULTALA,FULTALA,admin
50,69,9,57,PANGKA,PANGKA,admin
50,69,9,19,BAGATIPARA,BAGATIPARA,admin
50,69,9,38,DOYARAMPUR,DOYARAMPUR,admin
50,69,9,42,FAGUARDIAR,FAGUARDIAR,admin
45,61,94,28,DHANIKHOLA,DHANIKHOLA,admin
45,61,94,85,TRISAL,TRISAL,admin
30,59,56,23,BANGLA BAZAR,BANGLA BAZAR,admin
40,18,31,59,KARPASDANGA,KARPASDANGA,admin
40,18,31,35,HAWLI,HAWLI,admin
40,18,31,83,NATIPOTA,NATIPOTA,admin
50,10,85,51,MADLA,MADLA,admin
50,10,85,43,KHUTTAPARA,KHUTTAPARA,admin
50,10,85,17,ARIA,ARIA,admin
50,10,88,28,GARIDHOHO,GARIDHOHO,admin
50,10,88,47,KHANPUR,KHANPUR,admin
50,10,88,19,BISHALPUR,BISHALPUR,admin
50,10,88,95,SHUGHAT,SHUGHAT,admin
20,13,58,15,BITARA,BITARA,admin
20,13,58,94,PASCHIM SAHADEBPUR,PASCHIM SAHADEBPUR,admin
20,13,58,55,KADLA,KADLA,admin
20,13,58,31,DAKSHIN GOHAT,DAKSHIN GOHAT,admin
20,19,15,56,MADHOBPUR,MADHOBPUR,admin
20,19,15,88,SHOSIDAL,SHOSIDAL,admin
20,19,15,82,SHAHEBABAD,SHAHEBABAD,admin
20,19,18,75,RAJAPUR,RAJAPUR,admin
20,19,18,11,BAKSHIMUL,BAKSHIMUL,admin
20,19,18,31,BURICHONG,BURICHONG,admin
20,19,18,94,04 No. Sholanal UDC,04 No. Sholanal UDC,admin
55,27,10,23,MUKUNDAPUR,MUKUNDAPUR,admin
55,27,10,59,KATLA,KATLA,admin
55,27,10,35,DIOR,DIOR,admin
55,27,10,83,POLYPROYAGPUR,POLYPROYAGPUR,admin
60,90,23,90,SAILA AFJLABATH,SAILA AFJLABATH,admin
60,90,23,94,UTTAR KHURMA,UTTAR KHURMA,admin
60,90,23,47,ISLAMPUR,ISLAMPUR,admin
60,90,23,52,JAWA BAZAR,JAWA BAZAR,admin
50,88,50,51,MAIS BARI,MAIS BARI,admin
55,27,77,86,3 NO RAMPUR,3 NO RAMPUR,admin
50,88,50,69,NISCHINTA PUR,NISCHINTA PUR,admin
55,27,77,17,5 NO CHONDIPUR,5 NO CHONDIPUR,admin
50,88,44,19,VADRA GHAT,VADRA GHAT,admin
55,27,77,43,10 NO HORIRAMPUR,10 NO HORIRAMPUR,admin
50,88,44,38,JAMTAIL,JAMTAIL,admin
55,27,38,76,KHAYERBARI,KHAYERBARI,admin
55,27,38,38,6 NO DOULATPUR,6 NO DOULATPUR,admin
55,27,38,25,ALADIPUR,ALADIPUR,admin
55,27,38,28,Bethdighi,Bethdighi,admin
30,48,59,11,BOIRATI,BOIRATI,admin
30,48,59,13,DHAKI,DHAKI,admin
30,48,59,54,KATKHAL,KATKHAL,admin
30,48,59,67,KEWARZOR,KEWARZOR,admin
55,73,12,9,BALAPARA,BALAPARA,admin
55,73,12,85,PURBA CHATNAI,PURBA CHATNAI,admin
55,73,12,76,POSCHIM CHATNAI,POSCHIM CHATNAI,admin
55,49,79,11,BONDOBER,BONDOBER,admin
55,49,79,35,JADURCHAR,JADURCHAR,admin
55,49,79,83,SOILMARI,SOILMARI,admin
55,49,79,23,DATVANGA,DATVANGA,admin
55,49,61,88,RAMKHANA,RAMKHANA,admin
55,49,52,28,GHOGADAHO,GHOGADAHO,admin
55,49,52,85,PACHGACHI,PACHGACHI,admin
55,85,92,25,ALOMPUR,ALOMPUR,admin
55,85,92,71,KURSHA,KURSHA,admin
55,85,92,47,EKORCHALI,EKORCHALI,admin
55,85,92,63,HARIYARKUTI,HARIYARKUTI,admin
55,77,4,81,TORIA,TORIA,admin
55,77,4,67,RADHANAGAR,RADHANAGAR,admin
55,77,4,13,ALOAKHOA,ALOAKHOA,admin
55,77,4,27,BOLORAMPUR,BOLORAMPUR,admin
55,77,90,13,1NO BANGLABANDA,1NO BANGLABANDA,admin
55,77,90,94,2NO TINNOIHAT,2NO TINNOIHAT,admin
55,77,90,81,3NO TETULIA,3NO TETULIA,admin
